"ålder","kön","år","Folkmängd, antal"
"24 år","män","1986",57557
"24 år","män","1987",60883
"24 år","män","1988",65630
"24 år","män","1989",66502
"24 år","män","1990",66758
"24 år","män","1991",65868
"24 år","män","1992",61452
"24 år","män","1993",58595
"24 år","män","1994",59045
"24 år","män","1995",61214
"24 år","män","1996",60603
"24 år","män","1997",59220
"24 år","män","1998",59642
"24 år","män","1999",56529
"24 år","män","2000",54154
"24 år","män","2001",53292
"24 år","män","2002",51965
"24 år","män","2003",53777
"24 år","män","2004",55164
"24 år","män","2005",53936
"24 år","män","2006",54949
"24 år","män","2007",55288
"24 år","män","2008",56997
"24 år","män","2009",59998
"24 år","män","2010",62005
"24 år","män","2011",62435
"24 år","män","2012",66421
"24 år","män","2013",68113
"24 år","män","2014",72659
"24 år","män","2015",73156
"24 år","män","2016",73247
"24 år","män","2017",71283
"24 år","män","2018",69439
"24 år","män","2019",66159
"24 år","män","2020",61820
"24 år","män","2021",60141
"24 år","män","2022",63187
"24 år","män","2023",67579
"24 år","män","2024",63081
"24 år","kvinnor","1860",32119
"24 år","kvinnor","1861",30728
"24 år","kvinnor","1862",29814
"24 år","kvinnor","1863",30910
"24 år","kvinnor","1864",33425
"24 år","kvinnor","1865",32297
"24 år","kvinnor","1866",34240
"24 år","kvinnor","1867",33190
"24 år","kvinnor","1868",35038
"24 år","kvinnor","1869",33058
"24 år","kvinnor","1870",30469
"24 år","kvinnor","1871",30913
"24 år","kvinnor","1872",32661
"24 år","kvinnor","1873",35054
"24 år","kvinnor","1874",33965
"24 år","kvinnor","1875",33727
"24 år","kvinnor","1876",32339
"24 år","kvinnor","1877",34736
"24 år","kvinnor","1878",38446
"24 år","kvinnor","1879",36080
"24 år","kvinnor","1880",35416
"24 år","kvinnor","1881",36393
"24 år","kvinnor","1882",39157
"24 år","kvinnor","1883",39463
"24 år","kvinnor","1884",39475
"24 år","kvinnor","1885",36956
"24 år","kvinnor","1886",38870
"24 år","kvinnor","1887",39690
"24 år","kvinnor","1888",39514
"24 år","kvinnor","1889",38664
"24 år","kvinnor","1890",38111
"24 år","kvinnor","1891",34551
"24 år","kvinnor","1892",30537
"24 år","kvinnor","1893",33005
"24 år","kvinnor","1894",33944
"24 år","kvinnor","1895",36344
"24 år","kvinnor","1896",35582
"24 år","kvinnor","1897",36960
"24 år","kvinnor","1898",37517
"24 år","kvinnor","1899",39101
"24 år","kvinnor","1900",39276
"24 år","kvinnor","1901",41281
"24 år","kvinnor","1902",40001
"24 år","kvinnor","1903",41468
"24 år","kvinnor","1904",40314
"24 år","kvinnor","1905",40075
"24 år","kvinnor","1906",40882
"24 år","kvinnor","1907",41401
"24 år","kvinnor","1908",43378
"24 år","kvinnor","1909",43520
"24 år","kvinnor","1910",44714
"24 år","kvinnor","1911",45805
"24 år","kvinnor","1912",45142
"24 år","kvinnor","1913",44178
"24 år","kvinnor","1914",45317
"24 år","kvinnor","1915",46271
"24 år","kvinnor","1916",45356
"24 år","kvinnor","1917",46845
"24 år","kvinnor","1918",46963
"24 år","kvinnor","1919",48316
"24 år","kvinnor","1920",48563
"24 år","kvinnor","1921",48675
"24 år","kvinnor","1922",49950
"24 år","kvinnor","1923",48924
"24 år","kvinnor","1924",51597
"24 år","kvinnor","1925",51616
"24 år","kvinnor","1926",52211
"24 år","kvinnor","1927",51421
"24 år","kvinnor","1928",51875
"24 år","kvinnor","1929",52926
"24 år","kvinnor","1930",53518
"24 år","kvinnor","1931",54162
"24 år","kvinnor","1932",55192
"24 år","kvinnor","1933",56275
"24 år","kvinnor","1934",54558
"24 år","kvinnor","1935",54695
"24 år","kvinnor","1936",55098
"24 år","kvinnor","1937",54189
"24 år","kvinnor","1938",53881
"24 år","kvinnor","1939",51656
"24 år","kvinnor","1940",51623
"24 år","kvinnor","1941",51841
"24 år","kvinnor","1942",50708
"24 år","kvinnor","1943",50013
"24 år","kvinnor","1944",60410
"24 år","kvinnor","1945",56493
"24 år","kvinnor","1946",52382
"24 år","kvinnor","1947",51477
"24 år","kvinnor","1948",50470
"24 år","kvinnor","1949",49440
"24 år","kvinnor","1950",47929
"24 år","kvinnor","1951",46505
"24 år","kvinnor","1952",47209
"24 år","kvinnor","1953",44998
"24 år","kvinnor","1954",45723
"24 år","kvinnor","1955",44648
"24 år","kvinnor","1956",44263
"24 år","kvinnor","1957",41985
"24 år","kvinnor","1958",42601
"24 år","kvinnor","1959",42280
"24 år","kvinnor","1960",44149
"24 år","kvinnor","1961",44906
"24 år","kvinnor","1962",46691
"24 år","kvinnor","1963",48522
"24 år","kvinnor","1964",47593
"24 år","kvinnor","1965",50279
"24 år","kvinnor","1966",56517
"24 år","kvinnor","1967",62028
"24 år","kvinnor","1968",65565
"24 år","kvinnor","1969",66841
"24 år","kvinnor","1970",67824
"24 år","kvinnor","1971",66467
"24 år","kvinnor","1972",65342
"24 år","kvinnor","1973",62355
"24 år","kvinnor","1974",58923
"24 år","kvinnor","1975",56490
"24 år","kvinnor","1976",56414
"24 år","kvinnor","1977",56503
"24 år","kvinnor","1978",54723
"24 år","kvinnor","1979",55727
"24 år","kvinnor","1980",55720
"24 år","kvinnor","1981",55822
"24 år","kvinnor","1982",54219
"24 år","kvinnor","1983",53678
"24 år","kvinnor","1984",52959
"24 år","kvinnor","1985",53647
"24 år","kvinnor","1986",54881
"24 år","kvinnor","1987",57367
"24 år","kvinnor","1988",62687
"24 år","kvinnor","1989",62764
"24 år","kvinnor","1990",62836
"24 år","kvinnor","1991",62249
"24 år","kvinnor","1992",59105
"24 år","kvinnor","1993",56025
"24 år","kvinnor","1994",57489
"24 år","kvinnor","1995",58918
"24 år","kvinnor","1996",58285
"24 år","kvinnor","1997",57163
"24 år","kvinnor","1998",57556
"24 år","kvinnor","1999",54672
"24 år","kvinnor","2000",52199
"24 år","kvinnor","2001",51164
"24 år","kvinnor","2002",50363
"24 år","kvinnor","2003",52138
"24 år","kvinnor","2004",53173
"24 år","kvinnor","2005",52147
"24 år","kvinnor","2006",52218
"24 år","kvinnor","2007",52501
"24 år","kvinnor","2008",54175
"24 år","kvinnor","2009",56946
"24 år","kvinnor","2010",59124
"24 år","kvinnor","2011",60565
"24 år","kvinnor","2012",63697
"24 år","kvinnor","2013",65582
"24 år","kvinnor","2014",69577
"24 år","kvinnor","2015",68976
"24 år","kvinnor","2016",68878
"24 år","kvinnor","2017",67178
"24 år","kvinnor","2018",65530
"24 år","kvinnor","2019",61319
"24 år","kvinnor","2020",57940
"24 år","kvinnor","2021",55855
"24 år","kvinnor","2022",55705
"24 år","kvinnor","2023",55860
"24 år","kvinnor","2024",56891
"25 år","män","1860",31840
"25 år","män","1861",30666
"25 år","män","1862",29448
"25 år","män","1863",28322
"25 år","män","1864",29293
"25 år","män","1865",32164
"25 år","män","1866",30733
"25 år","män","1867",32617
"25 år","män","1868",31849
"25 år","män","1869",33041
"25 år","män","1870",29679
"25 år","män","1871",28056
"25 år","män","1872",28369
"25 år","män","1873",29799
"25 år","män","1874",32516
"25 år","män","1875",31855
"25 år","män","1876",32556
"25 år","män","1877",31394
"25 år","män","1878",33816
"25 år","män","1879",37446
"25 år","män","1880",33239
"25 år","män","1881",32084
"25 år","män","1882",32680
"25 år","män","1883",35984
"25 år","män","1884",36854
"25 år","män","1885",36920
"25 år","män","1886",34396
"25 år","män","1887",36682
"25 år","män","1888",37701
"25 år","män","1889",37546
"25 år","män","1890",35052
"25 år","män","1891",35223
"25 år","män","1892",31305
"25 år","män","1893",27281
"25 år","män","1894",31213
"25 år","män","1895",32411
"25 år","män","1896",34956
"25 år","män","1897",34403
"25 år","män","1898",35928
"25 år","män","1899",36779
"25 år","män","1900",38653
"25 år","män","1901",39129
"25 år","män","1902",40446
"25 år","män","1903",38823
"25 år","män","1904",40672
"25 år","män","1905",39468
"25 år","män","1906",40108
"25 år","män","1907",39496
"25 år","män","1908",39851
"25 år","män","1909",42080
"25 år","män","1910",42305
"25 år","män","1911",42984
"25 år","män","1912",44430
"25 år","män","1913",44005
"25 år","män","1914",42292
"25 år","män","1915",43189
"25 år","män","1916",44962
"25 år","män","1917",44364
"25 år","män","1918",45537
"25 år","män","1919",46079
"25 år","män","1920",48124
"25 år","män","1921",48413
"25 år","män","1922",48798
"25 år","män","1923",48869
"25 år","män","1924",48049
"25 år","män","1925",50184
"25 år","män","1926",50752
"25 år","män","1927",51010
"25 år","män","1928",50117
"25 år","män","1929",51149
"25 år","män","1930",51452
"25 år","män","1931",53719
"25 år","män","1932",54707
"25 år","män","1933",55890
"25 år","män","1934",57819
"25 år","män","1935",56595
"25 år","män","1936",56458
"25 år","män","1937",56853
"25 år","män","1938",56047
"25 år","män","1939",55190
"25 år","män","1940",52957
"25 år","män","1941",53114
"25 år","män","1942",53120
"25 år","män","1943",51838
"25 år","män","1944",51869
"25 år","män","1945",62346
"25 år","män","1946",58224
"25 år","män","1947",53832
"25 år","män","1948",53440
"25 år","män","1949",51692
"25 år","män","1950",50676
"25 år","män","1951",48629
"25 år","män","1952",47222
"25 år","män","1953",47204
"25 år","män","1954",45259
"25 år","män","1955",45827
"25 år","män","1956",45215
"25 år","män","1957",44855
"25 år","män","1958",43004
"25 år","män","1959",42878
"25 år","män","1960",43910
"25 år","män","1961",45450
"25 år","män","1962",46679
"25 år","män","1963",48522
"25 år","män","1964",51041
"25 år","män","1965",51377
"25 år","män","1966",54637
"25 år","män","1967",61197
"25 år","män","1968",66069
"25 år","män","1969",70937
"25 år","män","1970",72167
"25 år","män","1971",72041
"25 år","män","1972",69550
"25 år","män","1973",67711
"25 år","män","1974",64759
"25 år","män","1975",61862
"25 år","män","1976",59125
"25 år","män","1977",59458
"25 år","män","1978",59581
"25 år","män","1979",57466
"25 år","män","1980",58380
"25 år","män","1981",59077
"25 år","män","1982",57533
"25 år","män","1983",56728
"25 år","män","1984",56703
"25 år","män","1985",54903
"25 år","män","1986",56467
"25 år","män","1987",58116
"25 år","män","1988",61550
"25 år","män","1989",66678
"25 år","män","1990",67284
"25 år","män","1991",67231
"25 år","män","1992",66228
"25 år","män","1993",61934
"25 år","män","1994",59212
"25 år","män","1995",59290
"25 år","män","1996",61412
"25 år","män","1997",60774
"25 år","män","1998",59454
"25 år","män","1999",59958
"25 år","män","2000",57028
"25 år","män","2001",54680
"25 år","män","2002",53855
"25 år","män","2003",52613
"25 år","män","2004",54451
"25 år","män","2005",55904
"25 år","män","2006",55071
"25 år","män","2007",56233
"25 år","män","2008",56507
"25 år","män","2009",58452
"25 år","män","2010",61517
"25 år","män","2011",62850
"25 år","män","2012",63400
"25 år","män","2013",67543
"25 år","män","2014",69542
"25 år","män","2015",74108
"25 år","män","2016",75157
"25 år","män","2017",74734
"25 år","män","2018",72416
"25 år","män","2019",70492
"25 år","män","2020",66851
"25 år","män","2021",62726
"25 år","män","2022",61227
"25 år","män","2023",63847
"25 år","män","2024",67801
"25 år","kvinnor","1860",33044
"25 år","kvinnor","1861",31940
"25 år","kvinnor","1862",30529
"25 år","kvinnor","1863",29619
"25 år","kvinnor","1864",30654
"25 år","kvinnor","1865",33152
"25 år","kvinnor","1866",32005
"25 år","kvinnor","1867",33924
"25 år","kvinnor","1868",32580
"25 år","kvinnor","1869",34216
"25 år","kvinnor","1870",32351
"25 år","kvinnor","1871",30030
"25 år","kvinnor","1872",30462
"25 år","kvinnor","1873",32225
"25 år","kvinnor","1874",34645
"25 år","kvinnor","1875",33560
"25 år","kvinnor","1876",33494
"25 år","kvinnor","1877",32062
"25 år","kvinnor","1878",34402
"25 år","kvinnor","1879",38006
"25 år","kvinnor","1880",34797
"25 år","kvinnor","1881",34530
"25 år","kvinnor","1882",35352
"25 år","kvinnor","1883",38388
"25 år","kvinnor","1884",38894
"25 år","kvinnor","1885",38924
"25 år","kvinnor","1886",36284
"25 år","kvinnor","1887",37798
"25 år","kvinnor","1888",38582
"25 år","kvinnor","1889",38733
"25 år","kvinnor","1890",37406
"25 år","kvinnor","1891",37250
"25 år","kvinnor","1892",33797
"25 år","kvinnor","1893",29868
"25 år","kvinnor","1894",32751
"25 år","kvinnor","1895",33525
"25 år","kvinnor","1896",35908
"25 år","kvinnor","1897",35243
"25 år","kvinnor","1898",36575
"25 år","kvinnor","1899",37055
"25 år","kvinnor","1900",38552
"25 år","kvinnor","1901",38738
"25 år","kvinnor","1902",40455
"25 år","kvinnor","1903",39291
"25 år","kvinnor","1904",40974
"25 år","kvinnor","1905",39734
"25 år","kvinnor","1906",39656
"25 år","kvinnor","1907",40443
"25 år","kvinnor","1908",41072
"25 år","kvinnor","1909",42977
"25 år","kvinnor","1910",43381
"25 år","kvinnor","1911",44273
"25 år","kvinnor","1912",45350
"25 år","kvinnor","1913",44615
"25 år","kvinnor","1914",43849
"25 år","kvinnor","1915",44945
"25 år","kvinnor","1916",46000
"25 år","kvinnor","1917",45128
"25 år","kvinnor","1918",46147
"25 år","kvinnor","1919",46707
"25 år","kvinnor","1920",48175
"25 år","kvinnor","1921",48246
"25 år","kvinnor","1922",48400
"25 år","kvinnor","1923",49475
"25 år","kvinnor","1924",48609
"25 år","kvinnor","1925",51118
"25 år","kvinnor","1926",51222
"25 år","kvinnor","1927",51830
"25 år","kvinnor","1928",51066
"25 år","kvinnor","1929",51595
"25 år","kvinnor","1930",52721
"25 år","kvinnor","1931",53304
"25 år","kvinnor","1932",54106
"25 år","kvinnor","1933",55061
"25 år","kvinnor","1934",56163
"25 år","kvinnor","1935",54556
"25 år","kvinnor","1936",54602
"25 år","kvinnor","1937",55011
"25 år","kvinnor","1938",54113
"25 år","kvinnor","1939",53833
"25 år","kvinnor","1940",51637
"25 år","kvinnor","1941",51524
"25 år","kvinnor","1942",51761
"25 år","kvinnor","1943",50706
"25 år","kvinnor","1944",50082
"25 år","kvinnor","1945",60543
"25 år","kvinnor","1946",56860
"25 år","kvinnor","1947",52877
"25 år","kvinnor","1948",51847
"25 år","kvinnor","1949",50659
"25 år","kvinnor","1950",49789
"25 år","kvinnor","1951",48239
"25 år","kvinnor","1952",46653
"25 år","kvinnor","1953",47209
"25 år","kvinnor","1954",45056
"25 år","kvinnor","1955",45902
"25 år","kvinnor","1956",44729
"25 år","kvinnor","1957",44322
"25 år","kvinnor","1958",42094
"25 år","kvinnor","1959",42494
"25 år","kvinnor","1960",42359
"25 år","kvinnor","1961",44248
"25 år","kvinnor","1962",44926
"25 år","kvinnor","1963",46743
"25 år","kvinnor","1964",48691
"25 år","kvinnor","1965",47887
"25 år","kvinnor","1966",50560
"25 år","kvinnor","1967",56503
"25 år","kvinnor","1968",61979
"25 år","kvinnor","1969",66010
"25 år","kvinnor","1970",67320
"25 år","kvinnor","1971",67777
"25 år","kvinnor","1972",66045
"25 år","kvinnor","1973",65104
"25 år","kvinnor","1974",62415
"25 år","kvinnor","1975",59106
"25 år","kvinnor","1976",56779
"25 år","kvinnor","1977",56841
"25 år","kvinnor","1978",56829
"25 år","kvinnor","1979",55007
"25 år","kvinnor","1980",55981
"25 år","kvinnor","1981",55794
"25 år","kvinnor","1982",55913
"25 år","kvinnor","1983",54211
"25 år","kvinnor","1984",53844
"25 år","kvinnor","1985",53114
"25 år","kvinnor","1986",53888
"25 år","kvinnor","1987",55263
"25 år","kvinnor","1988",57839
"25 år","kvinnor","1989",63388
"25 år","kvinnor","1990",63350
"25 år","kvinnor","1991",63262
"25 år","kvinnor","1992",62574
"25 år","kvinnor","1993",59593
"25 år","kvinnor","1994",56729
"25 år","kvinnor","1995",57701
"25 år","kvinnor","1996",59107
"25 år","kvinnor","1997",58473
"25 år","kvinnor","1998",57378
"25 år","kvinnor","1999",57858
"25 år","kvinnor","2000",55151
"25 år","kvinnor","2001",52691
"25 år","kvinnor","2002",51727
"25 år","kvinnor","2003",50989
"25 år","kvinnor","2004",52800
"25 år","kvinnor","2005",53839
"25 år","kvinnor","2006",53103
"25 år","kvinnor","2007",53236
"25 år","kvinnor","2008",53563
"25 år","kvinnor","2009",55401
"25 år","kvinnor","2010",58057
"25 år","kvinnor","2011",59907
"25 år","kvinnor","2012",61637
"25 år","kvinnor","2013",64809
"25 år","kvinnor","2014",66754
"25 år","kvinnor","2015",70649
"25 år","kvinnor","2016",70528
"25 år","kvinnor","2017",70320
"25 år","kvinnor","2018",68439
"25 år","kvinnor","2019",66703
"25 år","kvinnor","2020",62137
"25 år","kvinnor","2021",58924
"25 år","kvinnor","2022",57052
"25 år","kvinnor","2023",56627
"25 år","kvinnor","2024",56910
"26 år","män","1860",32070
"26 år","män","1861",31582
"26 år","män","1862",30380
"26 år","män","1863",29165
"26 år","män","1864",28001
"26 år","män","1865",28921
"26 år","män","1866",31704
"26 år","män","1867",30260
"26 år","män","1868",31704
"26 år","män","1869",30673
"26 år","män","1870",30778
"26 år","män","1871",29013
"26 år","män","1872",27502
"26 år","män","1873",27864
"26 år","män","1874",29346
"26 år","män","1875",32113
"26 år","män","1876",31590
"26 år","män","1877",32288
"26 år","män","1878",31060
"26 år","män","1879",33147
"26 år","män","1880",34438
"26 år","män","1881",31951
"26 år","män","1882",30848
"26 år","män","1883",31895
"26 år","män","1884",35396
"26 år","män","1885",36294
"26 år","män","1886",36050
"26 år","män","1887",33546
"26 år","män","1888",35530
"26 år","män","1889",37016
"26 år","män","1890",34798
"26 år","män","1891",34206
"26 år","män","1892",34326
"26 år","män","1893",30583
"26 år","män","1894",27125
"26 år","män","1895",30914
"26 år","män","1896",32055
"26 år","män","1897",34599
"26 år","män","1898",34133
"26 år","män","1899",35585
"26 år","män","1900",35989
"26 år","män","1901",38022
"26 år","män","1902",38000
"26 år","män","1903",39366
"26 år","män","1904",38338
"26 år","män","1905",39956
"26 år","män","1906",38909
"26 år","män","1907",39542
"26 år","män","1908",39232
"26 år","män","1909",39103
"26 år","män","1910",41517
"26 år","män","1911",41615
"26 år","män","1912",42503
"26 år","män","1913",43521
"26 år","män","1914",43175
"26 år","män","1915",41673
"26 år","män","1916",42701
"26 år","män","1917",44567
"26 år","män","1918",43475
"26 år","män","1919",45111
"26 år","män","1920",45403
"26 år","män","1921",47665
"26 år","män","1922",47786
"26 år","män","1923",47452
"26 år","män","1924",48304
"26 år","män","1925",47259
"26 år","män","1926",49509
"26 år","män","1927",50107
"26 år","män","1928",50432
"26 år","män","1929",49645
"26 år","män","1930",50827
"26 år","män","1931",51628
"26 år","män","1932",53633
"26 år","män","1933",54610
"26 år","män","1934",55772
"26 år","män","1935",57604
"26 år","män","1936",56454
"26 år","män","1937",56257
"26 år","män","1938",56685
"26 år","män","1939",55925
"26 år","män","1940",55156
"26 år","män","1941",52862
"26 år","män","1942",53006
"26 år","män","1943",53050
"26 år","män","1944",51847
"26 år","män","1945",51831
"26 år","män","1946",62469
"26 år","män","1947",58518
"26 år","män","1948",54160
"26 år","män","1949",53568
"26 år","män","1950",51752
"26 år","män","1951",50911
"26 år","män","1952",48807
"26 år","män","1953",47108
"26 år","män","1954",47265
"26 år","män","1955",45589
"26 år","män","1956",46102
"26 år","män","1957",45484
"26 år","män","1958",44863
"26 år","män","1959",42909
"26 år","män","1960",43098
"26 år","män","1961",44169
"26 år","män","1962",45616
"26 år","män","1963",46903
"26 år","män","1964",49092
"26 år","män","1965",51953
"26 år","män","1966",52093
"26 år","män","1967",54621
"26 år","män","1968",61141
"26 år","män","1969",66856
"26 år","män","1970",71688
"26 år","män","1971",72048
"26 år","män","1972",71436
"26 år","män","1973",69237
"26 år","män","1974",67782
"26 år","män","1975",65064
"26 år","män","1976",62373
"26 år","män","1977",59558
"26 år","män","1978",59816
"26 år","män","1979",59916
"26 år","män","1980",57671
"26 år","män","1981",58383
"26 år","män","1982",59136
"26 år","män","1983",57498
"26 år","män","1984",56932
"26 år","män","1985",56975
"26 år","män","1986",55341
"26 år","män","1987",56923
"26 år","män","1988",58700
"26 år","män","1989",62512
"26 år","män","1990",67447
"26 år","män","1991",67731
"26 år","män","1992",67554
"26 år","män","1993",66666
"26 år","män","1994",62533
"26 år","män","1995",59440
"26 år","män","1996",59448
"26 år","män","1997",61530
"26 år","män","1998",60947
"26 år","män","1999",59699
"26 år","män","2000",60395
"26 år","män","2001",57583
"26 år","män","2002",55288
"26 år","män","2003",54324
"26 år","män","2004",53228
"26 år","män","2005",55213
"26 år","män","2006",57098
"26 år","män","2007",56220
"26 år","män","2008",57291
"26 år","män","2009",57899
"26 år","män","2010",59933
"26 år","män","2011",62430
"26 år","män","2012",63620
"26 år","män","2013",64434
"26 år","män","2014",68963
"26 år","män","2015",70944
"26 år","män","2016",76198
"26 år","män","2017",76708
"26 år","män","2018",75873
"26 år","män","2019",73547
"26 år","män","2020",71134
"26 år","män","2021",67715
"26 år","män","2022",63764
"26 år","män","2023",61768
"26 år","män","2024",64223
"26 år","kvinnor","1860",33276
"26 år","kvinnor","1861",32850
"26 år","kvinnor","1862",31742
"26 år","kvinnor","1863",30331
"26 år","kvinnor","1864",29380
"26 år","kvinnor","1865",30403
"26 år","kvinnor","1866",32844
"26 år","kvinnor","1867",31702
"26 år","kvinnor","1868",33339
"26 år","kvinnor","1869",31838
"26 år","kvinnor","1870",33342
"26 år","kvinnor","1871",31851
"26 år","kvinnor","1872",29606
"26 år","kvinnor","1873",30038
"26 år","kvinnor","1874",31808
"26 år","kvinnor","1875",34244
"26 år","kvinnor","1876",33344
"26 år","kvinnor","1877",33219
"26 år","kvinnor","1878",31760
"26 år","kvinnor","1879",33991
"26 år","kvinnor","1880",36700
"26 år","kvinnor","1881",33962
"26 år","kvinnor","1882",33608
"26 år","kvinnor","1883",34688
"26 år","kvinnor","1884",37848
"26 år","kvinnor","1885",38357
"26 år","kvinnor","1886",38280
"26 år","kvinnor","1887",35317
"26 år","kvinnor","1888",36877
"26 år","kvinnor","1889",37847
"26 år","kvinnor","1890",37739
"26 år","kvinnor","1891",36571
"26 år","kvinnor","1892",36403
"26 år","kvinnor","1893",33136
"26 år","kvinnor","1894",29642
"26 år","kvinnor","1895",32425
"26 år","kvinnor","1896",33146
"26 år","kvinnor","1897",35511
"26 år","kvinnor","1898",34918
"26 år","kvinnor","1899",36182
"26 år","kvinnor","1900",36606
"26 år","kvinnor","1901",38082
"26 år","kvinnor","1902",38028
"26 år","kvinnor","1903",39785
"26 år","kvinnor","1904",38874
"26 år","kvinnor","1905",40463
"26 år","kvinnor","1906",39332
"26 år","kvinnor","1907",39211
"26 år","kvinnor","1908",40141
"26 år","kvinnor","1909",40702
"26 år","kvinnor","1910",42855
"26 år","kvinnor","1911",42872
"26 år","kvinnor","1912",43927
"26 år","kvinnor","1913",44884
"26 år","kvinnor","1914",44298
"26 år","kvinnor","1915",43567
"26 år","kvinnor","1916",44673
"26 år","kvinnor","1917",45754
"26 år","kvinnor","1918",44391
"26 år","kvinnor","1919",45844
"26 år","kvinnor","1920",46606
"26 år","kvinnor","1921",47899
"26 år","kvinnor","1922",47924
"26 år","kvinnor","1923",47940
"26 år","kvinnor","1924",49163
"26 år","kvinnor","1925",48201
"26 år","kvinnor","1926",50764
"26 år","kvinnor","1927",50906
"26 år","kvinnor","1928",51464
"26 år","kvinnor","1929",50776
"26 år","kvinnor","1930",51440
"26 år","kvinnor","1931",52568
"26 år","kvinnor","1932",53252
"26 år","kvinnor","1933",53865
"26 år","kvinnor","1934",54941
"26 år","kvinnor","1935",56124
"26 år","kvinnor","1936",54422
"26 år","kvinnor","1937",54458
"26 år","kvinnor","1938",54944
"26 år","kvinnor","1939",54070
"26 år","kvinnor","1940",53832
"26 år","kvinnor","1941",51548
"26 år","kvinnor","1942",51453
"26 år","kvinnor","1943",51752
"26 år","kvinnor","1944",50738
"26 år","kvinnor","1945",50137
"26 år","kvinnor","1946",60843
"26 år","kvinnor","1947",57160
"26 år","kvinnor","1948",53160
"26 år","kvinnor","1949",52047
"26 år","kvinnor","1950",50886
"26 år","kvinnor","1951",50129
"26 år","kvinnor","1952",48355
"26 år","kvinnor","1953",46617
"26 år","kvinnor","1954",47267
"26 år","kvinnor","1955",45229
"26 år","kvinnor","1956",46034
"26 år","kvinnor","1957",44823
"26 år","kvinnor","1958",44360
"26 år","kvinnor","1959",42018
"26 år","kvinnor","1960",42243
"26 år","kvinnor","1961",42439
"26 år","kvinnor","1962",44293
"26 år","kvinnor","1963",44948
"26 år","kvinnor","1964",46933
"26 år","kvinnor","1965",49008
"26 år","kvinnor","1966",48128
"26 år","kvinnor","1967",50525
"26 år","kvinnor","1968",56533
"26 år","kvinnor","1969",62375
"26 år","kvinnor","1970",66352
"26 år","kvinnor","1971",67196
"26 år","kvinnor","1972",67356
"26 år","kvinnor","1973",65866
"26 år","kvinnor","1974",65172
"26 år","kvinnor","1975",62514
"26 år","kvinnor","1976",59339
"26 år","kvinnor","1977",57147
"26 år","kvinnor","1978",57124
"26 år","kvinnor","1979",57023
"26 år","kvinnor","1980",55132
"26 år","kvinnor","1981",56100
"26 år","kvinnor","1982",55850
"26 år","kvinnor","1983",55898
"26 år","kvinnor","1984",54309
"26 år","kvinnor","1985",53977
"26 år","kvinnor","1986",53348
"26 år","kvinnor","1987",54154
"26 år","kvinnor","1988",55692
"26 år","kvinnor","1989",58419
"26 år","kvinnor","1990",63942
"26 år","kvinnor","1991",63724
"26 år","kvinnor","1992",63584
"26 år","kvinnor","1993",63051
"26 år","kvinnor","1994",60264
"26 år","kvinnor","1995",56947
"26 år","kvinnor","1996",57845
"26 år","kvinnor","1997",59259
"26 år","kvinnor","1998",58737
"26 år","kvinnor","1999",57724
"26 år","kvinnor","2000",58326
"26 år","kvinnor","2001",55676
"26 år","kvinnor","2002",53244
"26 år","kvinnor","2003",52191
"26 år","kvinnor","2004",51562
"26 år","kvinnor","2005",53395
"26 år","kvinnor","2006",54747
"26 år","kvinnor","2007",54025
"26 år","kvinnor","2008",54214
"26 år","kvinnor","2009",54699
"26 år","kvinnor","2010",56485
"26 år","kvinnor","2011",58875
"26 år","kvinnor","2012",60870
"26 år","kvinnor","2013",62631
"26 år","kvinnor","2014",65984
"26 år","kvinnor","2015",67776
"26 år","kvinnor","2016",72240
"26 år","kvinnor","2017",72030
"26 år","kvinnor","2018",71550
"26 år","kvinnor","2019",69686
"26 år","kvinnor","2020",67519
"26 år","kvinnor","2021",63220
"26 år","kvinnor","2022",60128
"26 år","kvinnor","2023",57846
"26 år","kvinnor","2024",57615
"27 år","män","1860",31712
"27 år","män","1861",31795
"27 år","män","1862",31290
"27 år","män","1863",30106
"27 år","män","1864",28844
"27 år","män","1865",27250
"27 år","män","1866",28500
"27 år","män","1867",31261
"27 år","män","1868",29415
"27 år","män","1869",30632
"27 år","män","1870",28681
"27 år","män","1871",30145
"27 år","män","1872",28466
"27 år","män","1873",27046
"27 år","män","1874",27477
"27 år","män","1875",28988
"27 år","män","1876",31891
"27 år","män","1877",31337
"27 år","män","1878",31961
"27 år","män","1879",30473
"27 år","män","1880",30747
"27 år","män","1881",33253
"27 år","män","1882",30828
"27 år","män","1883",30177
"27 år","män","1884",31421
"27 år","män","1885",34903
"27 år","män","1886",35454
"27 år","män","1887",34777
"27 år","män","1888",32442
"27 år","män","1889",34768
"27 år","män","1890",34002
"27 år","män","1891",33880
"27 år","män","1892",33190
"27 år","män","1893",33650
"27 år","män","1894",30490
"27 år","män","1895",26890
"27 år","män","1896",30567
"27 år","män","1897",31838
"27 år","män","1898",34336
"27 år","män","1899",33860
"27 år","män","1900",34672
"27 år","män","1901",35457
"27 år","män","1902",37152
"27 år","män","1903",37112
"27 år","män","1904",38932
"27 år","män","1905",37828
"27 år","män","1906",39453
"27 år","män","1907",38402
"27 år","män","1908",39320
"27 år","män","1909",38671
"27 år","män","1910",38719
"27 år","män","1911",40922
"27 år","män","1912",41173
"27 år","män","1913",41782
"27 år","män","1914",42861
"27 år","män","1915",42595
"27 år","män","1916",41198
"27 år","män","1917",42375
"27 år","män","1918",43471
